country,lat,lng
United Kingdom,53.81667,-3.05
Australia,-37.814,144.96332
Nigeria,11.983238,8.551887
United States,28.29057,-81.40952
Spain,41.38879,2.15899
United Kingdom,51.50853,-0.12574
Hong Kong,22.36667,114.01667
Guernsey,49.43331,-2.35622
India,17.38405,78.45636
United Kingdom,51.57515,0.18582
Nigeria,5.5,6
South Korea,37.566,126.9784
United States,41.85003,-87.65005
Democratic Republic of the Congo,-2.02107,24.69727
India,29.10005,75.9645
Liberia,5.65,-9.7
United States,41.15243,-74.02409
United Kingdom,51.49271,-0.25801
South Africa,-23.41612,28.16256
Guernsey,49.43331,-2.35622
Denmark,56.45319,9.40201
United States,31.11712,-97.7278
Guernsey,49.43331,-2.35622
India,30.72545,76.85329
United Kingdom,55.86515,-4.25763
United Kingdom,51.50853,-0.12574
India,28.65381,77.22897
United States,39.76,-98.5
Russian Federation,60,100
India,30.72545,76.85329
Papua New Guinea,-7.44962,157.71973
United Kingdom,51.50853,-0.12574
United Kingdom,54.96209,-1.60168
Belgium,50.85045,4.34878
United Kingdom,53.48771,-2.29042
United Kingdom,51.50853,-0.12574
India,29.10005,75.9645
India,32.11453,76.55681
Pakistan,24.9056,67.0822
United Kingdom,51.3564,-0.7088
United Kingdom,55.75,-4.33333
United Kingdom,53.48095,-2.23743
United States,35.17333,-79.01294
India,19.07283,72.88261
United Kingdom,51.50853,-0.12574
United Kingdom,51.50853,-0.12574
United States,45.52345,-122.67621
United States,43.07305,-89.40123
India,19.07283,72.88261
India,22,79
United Kingdom,55.86515,-4.25763
Australia,-27.451621,153.186494
India,28.65381,77.22897
India,28.65381,77.22897
Australia,-33.86785,151.20732
Palestine,31.92157,35.20329
United States,41.63622,-70.9342
India,29.10005,75.9645
Nigeria,9.05785,7.49508
India,19.07283,72.88261
Guernsey,49.43331,-2.35622
United Kingdom,51.50853,-0.12574
United States,36.52977,-87.35945
United States,38.89511,-77.03637
India,28.42202,77.10454
United States,30.26715,-97.74306
United Kingdom,52.5389,-1.37613
United States,38.89511,-77.03637
United Kingdom,50.58965,-3.96188
United States,38.89511,-77.03637
South Africa,-29,24
United Kingdom,55.95206,-3.19648
Hungary,47.49801,19.03991
United States,42.37649,-71.23561
United Kingdom,51.50853,-0.12574
United States,41.63622,-70.93421
Pakistan,24.9056,67.0822
United Arab Emirates,25.25817,55.30472
United States,39.95234,-75.16379
India,22,79
Guernsey,49.43331,-2.35622
Australia,-27.46794,153.02809
United States,43.07305,-89.40123
Guernsey,49.43331,-2.35622
France,46,2
United Kingdom,51.50853,-0.12574
Russian Federation,55.75222,37.61556
Antarctica,-76.66667,161.95
South Korea,36.5,127.75
South Africa,-28.73333,23.96667
India,22,79
India,23.34777,85.33856
Pakistan,24.9056,67.0822
Pakistan,31.54972,74.34361
Norway,59.91273,10.74609
Nigeria,9.05785,7.49508
Armenia,40.18111,44.51361
India,26.26841,73.00594
South Africa,-25.74486,28.18783
India,19.07283,72.88261
United Kingdom,51.50853,-0.12574
United States,45.52345,-122.67621
India,18.51957,73.85535
United States,40.71427,-74.00597
United States,38.89511,-77.03637
United Kingdom,51.50853,-0.12574
United Kingdom,55.95206,-3.19648
Democratic Republic of the Congo,-2.02107,24.69727
France,48.85341,2.3488
India,28.65381,77.22897
India,23.02579,72.58726
United States,39.76,-98.5
United Kingdom,51.34128,0.73282
India,28.65381,77.22897
United States,32.71533,-117.15726
Russian Federation,46.34968,48.04076
United Kingdom,51.50853,-0.12574
United Kingdom,50.82838,-0.13947
India,19.07283,72.88261
Sweden,61.1,17.26667
United Kingdom,54.75844,-2.69531
South Africa,-25.98953,28.12843
India,28.65381,77.22897
United States,38.89511,-77.03637
United Kingdom,51.50853,-0.12574
Kuwait,29.5,47.75
United States,34.05223,-118.24368
Italy,41.89193,12.51133
United Kingdom,51.50853,-0.12574
United States,27.09978,-82.45426
Australia,-28.3641,153.5748
United States,55.95501,-161.41183
Australia,-20,145
India,28.65381,77.22897
India,19.07283,72.88261
Uganda,0.35529,32.6142
Mexico,25.98729,-98.09414
United Kingdom,50.82838,-0.13947
Mongolia,47.90771,106.88324
India,14.66667,75.83333
India,28.65381,77.22897
South Africa,-26.20227,28.04363
United States,38.89511,-77.03637
United States,30.43826,-84.28073
United Kingdom,51.50853,-0.12574
India,13.08784,80.27847
India,22,79
Canada,49.31306,-87.36806
United Kingdom,51.7836,-1.4854
Malaysia,3.1412,101.68653
Pakistan,33.72148,73.04329
United Kingdom,53.48095,-2.23743
United States,38.96667,-94.6169
India,18.51957,73.85535
Pakistan,33.72148,73.04329
United States,30.26715,-97.74306
United Kingdom,51.50853,-0.12574
Serbia,43.39819,19.77506
United Kingdom,55.86515,-4.25763
United States,27.50641,-99.50754
United Kingdom,56.25,-3.16667
India,28.65381,77.22897
United States,33.66946,-117.82311
United States,36.17497,-115.13722
